"300.00000,-0.45037"
"972.00000,115.40696"
"974.00000,113.57490"
"976.00000,169.70847"
"978.00000,177.83054"
"980.00000,43.50972"
"982.00000,111.64867"
"984.00000,125.43143"
"986.00000,76.12369"
"988.00000,95.33416"
"990.00000,89.70930"
"992.00000,97.37695"
"994.00000,136.83304"
"996.00000,204.47832"
"998.00000,286.01782"
"1000.00000,341.71075"
"1002.00000,341.64807"
"1004.00000,301.94345"
"1006.00000,249.32668"
"1008.00000,190.26869"
"1010.00000,148.24446"
"1012.00000,147.14571"
"1014.00000,150.04176"
"1016.00000,119.89378"
"1018.00000,113.36565"
"1020.00000,86.77909"
"1022.00000,84.59034"
"1024.00000,120.15237"
"1026.00000,107.74835"
"1028.00000,118.87150"
"1030.00000,134.41003"
"1032.00000,140.61115"
"1034.00000,143.99361"
"1036.00000,106.26773"
"1038.00000,111.90441"
"1040.00000,119.17145"
"1042.00000,89.62558"
"1044.00000,96.18039"
"1046.00000,104.81112"
"1048.00000,96.21432"
"1050.00000,81.80145"
"1052.00000,77.49783"
"1054.00000,77.37125"
"1056.00000,60.66875"
"1058.00000,58.93015"
"1060.00000,59.46631"
"1062.00000,17.72381"
"1064.00000,57.89185"
"1066.00000,61.46672"
"1068.00000,48.03885"
"1070.00000,112.82439"
"1072.00000,113.03736"
"1074.00000,135.29227"
"1076.00000,220.96410"
"1078.00000,323.10190"
"1080.00000,395.38208"
"1082.00000,444.08890"
"1084.00000,451.59369"
"1086.00000,398.47119"
"1088.00000,326.86115"
"1090.00000,321.86252"
"1092.00000,274.27142"
"1094.00000,210.39436"
"1096.00000,195.64464"
"1098.00000,206.66853"
"1100.00000,228.23795"
"1102.00000,202.18877"
"1104.00000,180.86044"
"1106.00000,203.03534"
"1108.00000,149.61627"
"1110.00000,144.85481"
"1112.00000,147.16777"
"1114.00000,123.00982"
"1116.00000,144.54813"
"1118.00000,117.35302"
"1120.00000,91.82307"
"1122.00000,90.54947"
"1124.00000,76.46130"
"1126.00000,59.52040"
"1128.00000,75.01962"
"1130.00000,56.76624"
"1132.00000,27.59785"
"1134.00000,85.79782"
"1136.00000,100.07020"
"1138.00000,130.07294"
"1140.00000,147.42056"
"1142.00000,109.87446"
"1144.00000,137.02666"
"1146.00000,132.63188"
"1148.00000,120.64249"
"1150.00000,128.60745"
"1152.00000,106.57002"
"1154.00000,88.28758"
"1156.00000,95.57030"
"1158.00000,91.76243"
"1160.00000,64.75125"
"1162.00000,81.36645"
"1164.00000,107.34946"
"1166.00000,73.58873"
"1168.00000,40.92385"
"1170.00000,110.78548"
"1172.00000,141.81453"
"1174.00000,140.46205"
"1176.00000,143.38544"
"1178.00000,188.75227"
"1180.00000,303.80887"
"1182.00000,329.32767"
"1184.00000,368.06836"
"1186.00000,474.20386"
"1188.00000,516.02124"
"1190.00000,495.92426"
"1192.00000,522.86847"
"1194.00000,589.18207"
"1196.00000,668.01318"
"1198.00000,814.94916"
"1200.00000,892.40283"
"1202.00000,994.88776"
"1204.00000,1152.65564"
"1206.00000,1277.34290"
"1208.00000,1483.59363"
"1210.00000,1675.15796"
"1212.00000,1770.53369"
"1214.00000,1744.00378"
"1216.00000,1565.62378"
"1218.00000,1285.67078"
"1220.00000,1000.29016"
"1222.00000,768.76447"
"1224.00000,592.03510"
"1226.00000,462.94586"
"1228.00000,383.50574"
"1230.00000,342.92157"
"1232.00000,308.24045"
"1234.00000,253.35034"
"1236.00000,223.11104"
"1238.00000,236.72037"
"1240.00000,228.65645"
"1242.00000,162.29953"
"1244.00000,162.31473"
"1246.00000,142.10106"
"1248.00000,131.48570"
"1250.00000,169.03528"
"1252.00000,152.76350"
"1254.00000,127.00661"
"1256.00000,134.62971"
"1258.00000,138.61208"
"1260.00000,119.66537"
"1262.00000,183.04247"
"1264.00000,221.41464"
