wavelength,intensity
882.0,130.98418943968986
884.0,126.52693537044601
886.0,79.30799381606072
888.0,59.04881387340561
890.0,74.50409370654786
892.0,122.2802240267855
894.0,100.62283413526326
896.0,56.77760739513052
898.0,86.4721886429322
900.0,89.47402670278744
902.0,105.95321087380141
904.0,90.02990535575876
906.0,88.10952625274386
908.0,107.83027502604864
910.0,113.40152870166163
912.0,99.40109339955498
914.0,71.8858746838407
916.0,50.72430907376628
918.0,88.3664111059701
920.0,81.48752568640884
922.0,93.49381280791721
924.0,91.2908405874206
926.0,37.74436728981964
928.0,106.1310887281076
930.0,93.29347479590506
932.0,59.34099224996025
934.0,119.41842278454352
936.0,71.10074172168255
938.0,48.89200543476774
940.0,68.57275335561614
942.0,80.68025394910705
944.0,93.07890583317764
946.0,133.02572457075655
948.0,155.1016749594945
950.0,172.00748174139295
952.0,183.02185836684353
954.0,178.45726882295398
956.0,174.2847754882455
958.0,192.3338700567412
960.0,193.3119506339303
962.0,187.8465028979744
964.0,173.26199701505016
966.0,126.12073460088881
968.0,104.72600113530433
970.0,137.6596560075499
972.0,168.32005225782774
974.0,183.2595874417866
976.0,192.16464705264738
978.0,223.56172997741035
980.0,249.70727555040048
982.0,217.15902883528267
984.0,226.28730527171413
986.0,225.41181648392288
988.0,185.77744962770873
990.0,210.7120389408484
992.0,224.16241398879316
994.0,229.4956931846886
996.0,241.41436629136223
998.0,303.8072595514713
1000.0,333.369261481786
1002.0,348.6832324776005
1004.0,346.0494603124658
1006.0,301.72005086111284
1008.0,290.56513776436867
1010.0,285.368154085124
1012.0,272.71725585642287
1014.0,254.99128366702482
1016.0,253.52228552952647
1018.0,278.83480076888327
1020.0,274.21951256374564
1022.0,255.42678479981987
1024.0,294.9654267870708
1026.0,316.9552807680799
1028.0,303.405330323481
1030.0,319.36415891478106
1032.0,357.48729613623146
1034.0,341.1618352817212
1036.0,270.9952355913631
1038.0,308.6805735774327
1040.0,343.86096912951865
1042.0,327.09094399952085
1044.0,364.0947172268253
1046.0,287.5557279446892
1048.0,263.3716623461295
1050.0,314.4791328484849
1052.0,269.49653337802084
1054.0,263.01344832120634
1056.0,310.3017755549821
1058.0,337.8076289754767
1060.0,301.7668019381671
1062.0,277.4451866027238
1064.0,291.9627517382494
1066.0,290.1359051694255
1068.0,290.83260354263
1070.0,322.9772278899646
1072.0,334.57330500337673
1074.0,327.9062617980063
1076.0,336.79625893845923
1078.0,398.3406212748234
1080.0,469.6270041686456
1082.0,490.737474948527
1084.0,455.3352000772797
1086.0,437.0453587426522
1088.0,400.2037770615144
1090.0,259.8807541795752
1092.0,251.27395899455652
1094.0,275.1901282091204
1096.0,237.32970192939516
1098.0,228.5951997171188
1100.0,221.3633836364869
1102.0,231.80214434943588
1104.0,249.8313124116412
1106.0,216.50057115576917
1108.0,215.45659467210808
1110.0,234.38714620792453
1112.0,269.39943436667727
1114.0,277.7607571799147
1116.0,223.6496691987952
1118.0,233.77085513586502
1120.0,246.8237210540902
1122.0,257.64018184581994
1124.0,265.96924698766844
1126.0,257.21116042362496
1128.0,239.99832082610706
1130.0,248.88080006889322
1132.0,263.16851114397997
1134.0,263.4725390729853
1136.0,272.9763948742426
1138.0,302.1917882471192
1140.0,311.41957391585356
1142.0,297.5176725926389
1144.0,356.32736577212535
1146.0,346.5116630083426
1148.0,301.0169844835098
1150.0,309.36778347513984
1152.0,340.86693434181086
1154.0,342.9309796573352
1156.0,307.7993058808026
1158.0,274.3333138719852
1160.0,275.4929246374021
