"1186.00000,836.73938"
"1188.00000,901.94385"
"1190.00000,901.05151"
"1192.00000,934.44611"
"1194.00000,1021.23059"
"1196.00000,1150.24500"
"1198.00000,1345.57092"
"1200.00000,1517.89807"
"1202.00000,1666.04248"
"1204.00000,1849.59875"
"1206.00000,2107.14307"
"1208.00000,2422.29004"
"1210.00000,2743.88477"
"1212.00000,2867.19580"
"1214.00000,2709.24658"
"1216.00000,2447.03931"
"1218.00000,1988.54346"
"1220.00000,1568.36731"
"1222.00000,1279.94543"
"1224.00000,989.15240"
"1226.00000,814.29248"
"1228.00000,690.35101"
"1230.00000,588.34796"
"1232.00000,513.57709"
"1234.00000,434.17450"
"1236.00000,412.45847"
"1238.00000,444.67532"
"1240.00000,410.96622"
"1242.00000,295.27496"
"1244.00000,345.80334"
"1246.00000,245.05057"
"1248.00000,187.00287"
"1250.00000,326.87640"
"1252.00000,257.36200"
"1254.00000,255.17923"
"1256.00000,308.11688"
"1258.00000,332.83167"
"1260.00000,375.18948"
"1262.00000,453.97568"
"1264.00000,578.71118"
"1266.00000,654.25323"
"1268.00000,690.92273"
"1270.00000,870.10944"
"1272.00000,1131.63513"
"1274.00000,1479.30786"
"1276.00000,1911.94495"
"1278.00000,2386.73315"
"1280.00000,2859.14990"
"1282.00000,3137.92505"
"1284.00000,3264.56787"
"1286.00000,3366.66211"
"1288.00000,3448.91577"
"1290.00000,3531.25073"
"1292.00000,3362.76929"
"1294.00000,2929.49023"
"1296.00000,2452.92383"
"1298.00000,1966.86792"
"1300.00000,1640.75916"
"1302.00000,1379.51904"
"1304.00000,1095.38232"
"1306.00000,918.45813"
"1308.00000,775.80493"
"1310.00000,630.15491"
"1312.00000,561.96198"
"1314.00000,566.70422"
"1316.00000,472.41251"
"1318.00000,674.00433"
"1320.00000,579.02576"
"1322.00000,241.41615"
"1324.00000,699.69275"
"1326.00000,809.05194"
"1328.00000,1093.27515"
"1330.00000,1660.50256"
"1332.00000,2003.51086"
"1334.00000,2579.50391"
"1336.00000,3194.45508"
"1338.00000,3466.39380"
"1340.00000,3344.47192"
"1342.00000,3048.94165"
"1344.00000,2502.40479"
"1346.00000,2079.30103"
"1348.00000,1795.63794"
"1350.00000,1405.83862"
"1352.00000,1100.65894"
"1354.00000,966.76459"
"1356.00000,941.68353"
"1358.00000,935.05969"
"1360.00000,897.25598"
"1362.00000,790.92206"
"1364.00000,754.01855"
"1366.00000,745.41571"
"1368.00000,635.75073"
"1370.00000,516.39008"
"1372.00000,429.57251"
"1374.00000,392.08121"
"1376.00000,365.09271"
"1378.00000,300.58072"
"1380.00000,272.97314"
"1382.00000,230.33578"
"1384.00000,231.35515"
"1386.00000,324.53494"
"1388.00000,336.18121"
"1390.00000,293.44449"
"1392.00000,352.34537"
"1394.00000,407.12442"
"1396.00000,252.11815"
"1398.00000,257.84076"
"1400.00000,230.11372"
"1402.00000,172.46783"
"1404.00000,224.70770"
"1406.00000,197.98181"
"1408.00000,196.09962"
"1410.00000,167.72467"
"1412.00000,135.09422"
"1414.00000,191.43723"
"1416.00000,95.51335"
"1418.00000,128.04451"
"1420.00000,205.48419"
"1422.00000,114.69813"
"1424.00000,122.47366"
"1426.00000,165.44867"
"1428.00000,131.51852"
"1430.00000,103.11859"
"1432.00000,194.90587"
"1434.00000,187.75253"
"1436.00000,195.07021"
"1438.00000,294.31393"
"1440.00000,388.45514"
"1442.00000,395.01636"
"1444.00000,460.21249"
"1446.00000,489.11569"
"1448.00000,442.06631"
"1450.00000,421.63577"
"1452.00000,342.54013"
"1454.00000,320.93478"
"1456.00000,313.97189"
"1458.00000,241.35722"
"1460.00000,215.19788"
"1462.00000,202.64845"
"1464.00000,207.60310"
"1466.00000,198.43172"
"1468.00000,136.30679"
"1470.00000,125.11814"
"1472.00000,131.52103"
"1474.00000,173.99158"
"1476.00000,199.42606"
"1478.00000,83.68921"
"1480.00000,180.34129"
"1482.00000,197.25728"
"1484.00000,65.82477"
"1486.00000,95.72276"
"1488.00000,64.87811"
"1490.00000,84.40123"
"1492.00000,109.44873"
"1494.00000,105.63789"
"1496.00000,244.84659"
"1498.00000,296.58517"
"1500.00000,386.22321"
"1502.00000,556.92950"
"1504.00000,649.18262"
"1506.00000,731.72186"
"1508.00000,784.87762"
"1510.00000,810.13312"
"1512.00000,865.47699"
"1514.00000,1015.06750"
"1516.00000,1274.18250"
"1518.00000,1604.27197"
"1520.00000,2036.53198"
"1522.00000,2633.32861"
"1524.00000,3339.48877"
"1526.00000,4156.64160"
"1528.00000,5128.70654"
"1530.00000,6330.98535"
"1532.00000,7804.62061"
"1534.00000,9375.18457"
"1536.00000,10645.81445"
"1538.00000,10854.44727"
"1540.00000,9661.69238"
"1542.00000,8066.25928"
"1544.00000,6543.52197"
"1546.00000,5291.24121"
"1548.00000,4401.46289"
"1550.00000,3817.22119"
"1552.00000,3328.60864"
"1554.00000,2941.65967"
"1556.00000,2704.14819"
"1558.00000,2510.68262"
"1560.00000,2183.65454"
"1562.00000,1973.34607"
"1564.00000,1825.48535"
"1566.00000,1632.91882"
"1568.00000,1514.57373"
"1570.00000,1338.40234"
"1572.00000,1212.56885"
"1574.00000,1146.35107"
"1576.00000,1031.63220"
"1578.00000,928.39166"
"1580.00000,792.88458"
"1582.00000,680.68152"
"1584.00000,623.27228"
"1586.00000,543.73230"
"1588.00000,479.37579"
"1590.00000,443.73386"
"1592.00000,383.22354"
"1594.00000,285.68939"
"1596.00000,260.76941"
"1598.00000,252.19374"
"1600.00000,243.91997"
"1602.00000,198.87062"
"1604.00000,79.12527"
"1606.00000,83.03289"
"1608.00000,98.16778"
"1610.00000,113.28577"
"1612.00000,177.01521"
"1614.00000,121.09981"
"1616.00000,136.97935"
"1618.00000,174.78186"
"1620.00000,157.66167"
"1622.00000,171.32709"
"1624.00000,127.67888"
"1626.00000,120.59341"
"1628.00000,139.27557"
"1630.00000,117.33672"
"1632.00000,140.03476"
"1634.00000,89.05454"
"1636.00000,33.47576"
"1638.00000,86.87016"
"1640.00000,169.00247"
"1642.00000,97.36009"
"1644.00000,118.13145"
"1646.00000,187.54105"
"1648.00000,126.03983"
"1650.00000,140.60316"
"1652.00000,130.93393"
"1654.00000,124.02797"
"1656.00000,140.04559"
"1658.00000,99.42576"
"1660.00000,76.93559"
"1662.00000,96.68532"
"1664.00000,113.57978"
"1666.00000,112.80460"
"1668.00000,142.83801"
"1670.00000,102.80419"
"1672.00000,106.64300"
"1674.00000,141.47105"
"1676.00000,69.69971"
"1678.00000,156.45769"
"1680.00000,166.05751"
"1682.00000,110.19175"
"1684.00000,159.80870"
"1686.00000,162.24838"
"1688.00000,129.19783"
"1690.00000,134.13593"
"1692.00000,160.32549"
"1694.00000,147.37129"
"1696.00000,174.22702"
"1698.00000,165.98967"
"1700.00000,128.90704"
"1702.00000,126.77384"
"1704.00000,140.95671"
"1706.00000,190.45663"
"1708.00000,189.64879"
"1710.00000,126.11378"
"1712.00000,98.17873"
"1714.00000,108.68736"
"1716.00000,175.38683"
"1718.00000,227.10684"
"1720.00000,201.73193"
"1722.00000,167.00510"
"1724.00000,156.40196"
"1726.00000,156.32755"
"1728.00000,156.54074"
"1730.00000,142.54630"
"1732.00000,86.99273"
"1734.00000,216.38348"
"1736.00000,252.31305"
"1738.00000,60.57533"
"1740.00000,163.10933"
"1742.00000,201.27052"
"1744.00000,168.90292"
"1746.00000,179.92676"
"1748.00000,198.96889"
"1750.00000,235.04665"
"1752.00000,158.42699"
"1754.00000,106.60695"
"1756.00000,197.81493"
